n,price,rooms,meters,address
0,7100,5.5,188,"Pilatusstrasse 7, 8032 Zürich"
1,3000,3.5,90,"Michale-maggistr 10, 8046 Zürich"
2,6093,3.5,94,"Hochstrasse 73, 8044 Zürich"
3,2890,2.5,74,"Badenerstrasse 682, 8048 Zürich"
4,3090,2.5,66,"Anna-Heer-Strasse 14, 8057 Zürich"
5,3550,3.5,78,"Anna-Heer-Strasse 14, 8057 Zürich"
6,3550,3.5,78,"Anna-Heer-Strasse 12, 8057 Zürich"
7,3220,3.5,74,"Anna-Heer-Strasse 16, 8057 Zürich"
8,2480,2.5,53,"Anna-Heer-Strasse 12, 8057 Zürich"
9,2128,2.5,57,"Saumackerstrasse 28, 8048 Zürich"
10,3090,2.5,83,"Badenerstrasse 682, 8048 Zürich"
11,2230,1.5,23,"Siewerdtstrasse 75, 8050 Zürich"
12,4440,3.5,74,"Freiestrasse 123, 8032 Zürich"
13,5130,4.5,135,"Zentralstrasse 78, 8003 Zürich"
14,2750,2.0,0,"Rotwandstrasse 66, 8004 Zürich"
15,3828,2.5,0,"Rotwandstrasse 66, 8004 Zürich"
16,2625,2.5,67,"Hagenholzstrasse 55, 8050 Zürich"
17,2545,2.5,67,"Hagenholzstrasse 55, 8050 Zürich"
18,3080,3.5,86,"Hagenholzstrasse 55, 8050 Zürich"
19,3080,3.5,86,"Hagenholzstrasse 55, 8050 Zürich"
20,3995,2.5,105,"Pfingstweidstrasse 98, 8005 Zürich"
21,4867,5.5,128,"Käferholzstrasse 48, 8057 Zürich"
22,5870,4.5,90,"Kreuzstrasse 78, 8032 Zürich"
23,3385,3.5,88,"Allmannstrasse 55, 8052 Zürich, 8052 Zürich"
24,2300,1.0,2,"Rotwandstrasse 66, 8004 Zürich"
25,1342,1.0,1,"Brown Boveri Strasse 7, 8001 Zürich"
26,2300,1.0,2,"Rotwandstrasse 66, 8004 Zürich"
27,2950,2.0,36,"Rotwandstrasse 66, 8004 Zürich"
28,1600,1.5,40,"Müllerstrasse 76, 8004 Zürich"
29,2900,4.5,93,"Baumackerstrasse 45, 8050 Zürich"
30,2545,2.5,63,"Käferholzstrasse 44, 8057 Zürich"
31,1840,1.0,7,"Rotbuchstrasse 9, 8006 Zürich"
32,2165,1.0,3,"Militärstrasse 106, 8004 Zürich"
33,3025,3.5,73,"Buchholzstrasse 19, 8053 Zürich"
34,3940,2.5,81,"Mythenquai 353, 8038 Zürich"
35,1450,1.0,1,"Morgartenstrasse, 8004 Zürich"
36,2425,2.5,57,"Buchholzstrasse 17, 8053 Zürich"
37,4225,3.5,84,"Buchholzstrasse 15, 8053 Zürich"
38,3850,4.5,103,"Katzenbachstrasse 239, 8052 Zürich"
39,3010,3.5,82,"Katzenbachstrasse 239, 8052 Zürich"
40,4630,2.5,113,"Mythenquai 353, 8038 Zürich"
41,9750,0.0,136,"Bahnhofstrasse 65, 8001 Zürich"
42,3120,2.5,60,"Zeughausstrasse 3, 8004 Zürich"
43,4735,7.5,180,"Hardturmstrasse, 8005 Zürich"
44,3460,3.0,70,"Kyburgstrasse 27, 8037 Zürich"
45,7800,4.5,147,"Löwenstrasse 16, 8001 Zürich"
46,4320,3.5,140,"Pfingstweidstrasse 104, 8005 Zürich"
47,3190,2.0,60,"Zinistrasse 9, 8004 Zürich"
48,5500,3.5,107,"Spyristrasse 32, 8044 Zürich"
49,5750,4.5,146,"Zürichbergstrasse 51, 8044 Zürich"
50,3450,3.0,70,"Bucheggstrasse 133, 8057 Zürich"
51,5600,3.5,115,"Billoweg 3, 8038 Zürich"
52,4070,3.5,90,"Sempacherstrasse 37, 8032 Zürich"
