distance
1.49
6.5
0.68
4.92
2.63
2.63
2.63
2.62
2.63
4.71
4.92
4.01
1.71
2.32
1.42
1.42
4.27
4.27
4.27
4.27
3.26
3.08
1.31
4.55
1.42
4.24
1.42
1.42
1.49
3.68
3.08
1.78
1.49
3.24
3.6
1.49
3.26
3.26
5.35
5.35
3.6
0.84
1.25
2.58
2.47
1.01
3.36
1.69
0.81
0.75
2.58
2.99
2.23
2.68
2.77
6.4
5.08
2.75
5.46
4.45
3.21
1.07
2.01
0.38
1.38
3.37
3.98
1.47
1.24
1.67
5.06
4.37
2.59
2.07
6.1
2.54
2.0
3.51
1.62
1.7
6.51
2.37
1.57
3.35
2.1
1.64
1.9
3.26
0.53
3.94
2.65
4.67
2.76
4.17
0.8
1.58
3.61
0.65
3.14
3.14
1.95
1.78
2.96
4.07
1.54
5.28
5.43
4.39
6.05
0.64
5.07
0.73
2.43
1.96
6.55
5.28
4.07
3.42
1.24
2.47
2.78
3.6
6.31
2.04
4.12
2.06
4.3
2.0
2.82
4.81
1.88
4.57
2.82
2.82
1.95
1.77
1.29
0.89
0.59
3.9
2.05
2.18
2.04
5.09
1.74
5.1
2.18
5.24
2.7
1.5
1.39
2.21
0.67
5.01
3.8
5.5
1.44
1.47
3.8
6.01
3.8
5.02
5.02
3.78
1.8
3.8
1.64
2.68
3.8
3.8
3.05
1.73
1.4
1.87
4.04
1.73
0.73
3.01
1.25
4.46
4.46
6.13
5.62
4.55
3.04
4.92
4.92
2.7
3.04
16.12
3.14
4.89
2.35
3.86
1.8
1.53
5.02
3.05
3.04
3.04
4.96
4.92
4.92
4.26
1.4
1.4
6.87
3.18
2.01
4.4
1.21
2.7
4.94
4.94
4.94
4.04
1.82
2.71
1.1
1.1
1.27
4.94
4.49
4.7
4.7
1.69
3.08
2.81
3.47
3.51
0.9
4.01
3.58
1.4
1.44
3.36
5.25
5.86
4.96
2.87
2.57
2.72
2.84
1.04
1.04
1.04
1.57
1.19
2.02
2.2
4.2
1.7
3.7
4.5
2.31
4.43
1.58
5.11
6.01
4.04
1.7
1.87
2.63
4.34
4.3
2.19
4.04
3.85
3.59
4.22
3.84
1.13
2.88
4.18
1.16
4.47
3.87
4.19
1.52
4.52
5.82
1.56
1.5
4.83
6.84
4.16
4.46
1.31
4.86
4.12
2.52
3.84
0.96
2.35
6.06
2.82
1.67
2.35
1.72
4.7
1.19
0.75
1.75
3.65
1.69
3.69
2.19
4.7
4.67
1.51
0.95
