n,price,rooms,meters,address
626,2703,2.5,0,"Herrligweg 9, 8048 Zürich"
627,3560,4.5,106,"Frankentalerstrasse 37, 8049 Zürich"
628,4190,4.5,0,"Lindenbachstrasse 34, 8006 Zürich"
629,3330,2.5,76,"Regensbergstrasse 1, 8050 Zürich"
630,4280,4.5,92,"Bederstrasse 70, 8002 Zürich"
631,4390,4.5,104,"Fröbelstrasse 33, 8032 Zürich"
632,2600,2.5,0,"Rotbuchstrasse 26, 8037 Zürich"
633,3370,3.5,90,"Heidwiesen 19, 8051 Zürich"
634,2500,2.5,50,"Winzerstrasse 89, 8049 Zürich"
635,3892,2.5,79,"Langstrasse 13, 8004 Zürich"
636,2540,1.5,45,"Mythenquai 349a, 8038 Zürich"
637,2850,0.0,73,"Stadelhoferstrasse 28, 8001 Zürich"
638,2666,2.0,38,"Hochfarbstrasse 14, 8006 Zürich"
639,3600,3.5,107,"Saumackerstrasse 92, 8048 Zürich"
640,2800,3.5,81,"Soodstrasse 88, 8041 Zürich"
641,5600,3.5,123,"Aurorastrasse 4, 8032 Zürich"
642,3780,2.5,111,"Grüngasse 41, 8004 Zürich"
643,2410,1.5,39,"Forchstrasse 239 / 241, 8032 Zürich"
644,3100,2.5,62,"Forchstrasse 239 / 241, 8032 Zürich"
645,2570,2.5,60,"Vulkanplatz 7, 8048 Zürich"
646,2664,3.5,93,"Grosswiesenstrasse 165, 8051 Zürich"
647,5163,4.5,147,8006 Zürich
648,3850,4.5,110,8032 Zürich
649,2625,2.0,54,"Elsastrasse 16, 8004 Zürich"
650,3104,0.0,24,"Gerechtigkeitsgasse 8, 8001 Zurich"
651,4246,1.0,36,"Gerechtigkeitsgasse 8, 8001 Zurich"
652,5076,2.0,46,"Gerechtigkeitsgasse 8, 8001 Zurich"
653,3104,0.0,23,"Gerechtigkeitsgasse 8, 8001 Zurich"
654,3415,0.0,30,"Gerechtigkeitsgasse 8, 8001 Zurich"
655,6332,2.0,86,"Bellariastrasse 36, 8002 Zurich"
656,3104,0.0,31,"Bellariastrasse 36, 8002 Zurich"
657,3104,0.0,38,"Waffenplatzstrasse 72, 8002 Zurich"
658,4245,0.0,108,"Waffenplatzstrasse 72, 8002 Zurich"
659,2066,0.0,12,"Waffenplatzstrasse 72, 8002 Zurich"
660,2377,0.0,20,"Waffenplatzstrasse 72, 8002 Zurich"
661,2066,0.0,14,"Cramerstrasse 8-12, 8004 Zurich"
662,3000,0.0,25,"Cramerstrasse 8-12, 8004 Zurich"
663,4246,2.0,46,"Cramerstrasse 2-6, 8004 Zurich"
664,2066,0.0,18,"Cramerstrasse 2-6, 8004 Zurich"
665,2585,0.0,22,"Cramerstrasse 2-6, 8004 Zurich"
666,2585,0.0,28,"Freyastrasse 8, 8004 Zurich"
667,2896,0.0,33,"Freyastrasse 8, 8004 Zurich"
668,2793,0.0,24,"Militärstrasse 24, 8004 Zurich"
669,2170,0.0,15,"Militärstrasse 24, 8004 Zurich"
670,3830,0.0,30,"Militärstrasse 24, 8004 Zurich"
671,4453,0.0,41,"Militärstrasse 24, 8004 Zurich"
672,4246,0.0,43,"Militärstrasse 24, 8004 Zurich"
673,4246,0.0,36,"Militärstrasse 24, 8004 Zurich"
674,1962,0.0,15,"Binzmühlestr. 46, 8050 Zurich"
675,2481,0.0,22,"Binzmühlestr. 46, 8050 Zurich"
676,3934,0.0,51,"Binzmühlestr. 46, 8050 Zurich"
677,1962,0.0,17,"Binzmühlestr. 48, 8050 Zurich"
678,3208,0.0,36,"Binzmühlestr. 48, 8050 Zurich"
679,1962,0.0,22,"Binzmühlestr. 50, 8050 Zurich"
680,3208,0.0,28,"Cramerstrasse 2-6, 8004 Zurich"
681,2689,0.0,28,"Freyastrasse 8, 8004 Zurich"
682,3000,0.0,33,"Freyastrasse 8, 8004 Zurich"
683,3000,0.0,24,"Rotachstrasse 33, 8003 Zurich"
684,2585,0.0,23,"Binzmühlestr. 46, 8050 Zurich"
685,2170,0.0,22,"Binzmühlestr. 46, 8050 Zurich"
686,3104,0.0,36,"Binzmühlestr. 48, 8050 Zurich"
687,3415,3.0,60,"Binzmühlestr. 48, 8050 Zurich"
688,4349,0.0,36,"Gerechtigkeitsgasse 8, 8001 Zurich"
689,2170,0.0,16,"Gerechtigkeitsgasse 8, 8001 Zurich"
690,4142,2.0,37,"Cramerstrasse 2-6, 8004 Zurich"
691,2689,0.0,20,"Cramerstrasse 2-6, 8004 Zurich"
692,2170,0.0,16,"Cramerstrasse 8-12, 8004 Zurich"
693,4349,0.0,38,"Militärstrasse 24, 8004 Zurich"
694,2896,0.0,26,"Militärstrasse 24, 8004 Zurich"
695,2481,0.0,20,"Waffenplatzstrasse 72, 8002 Zurich"
696,3623,0.0,53,"Binzmühlestr. 50, 8050 Zurich"
697,2602,0.0,14,"Brandschenkestrasse 10, 8001 Zürich"
698,3208,0.0,22,"Zweierstrasse 24, 8004 Zurich"
699,3415,0.0,28,"Zweierstrasse 24, 8004 Zurich"
700,2170,0.0,18,"Zweierstrasse 24, 8004 Zurich"
701,3000,0.0,22,"Zweierstrasse 24, 8004 Zurich"
702,2066,0.0,12,"Albertstrasse 7, 8005 Zürich"
703,3104,0.0,25,"Albertstrasse 7, 8005 Zürich"
704,2490,3.0,67,"Bockhornstrasse 15, 8047 Zürich"
705,5390,4.5,105,"Wartauweg 19, 8049 Zürich"
706,2490,3.0,0,"Burstwiesenstrasse 73, 8055 Zürich"
707,1190,1.0,17,"Schwandenholzstrasse, 8046 Zürich"
708,1350,1.0,20,"Kirchenfeld, 8052 Zürich"
709,2540,2.5,89,"Eulenweg 23, 8048 Zürich"
710,5870,3.5,113,8008 Zürich
711,3204,2.5,60,"Alfred-Escher-Strasse 70, 8002 Zürich"
712,3850,4.5,0,"Hungerbergstrasse 7, 8046 Zürich"
713,3300,3.5,90,"Allmannstrasse 55, 8052 Zürich"
714,2500,2.0,75,"Stampfenbrunnenstrasse 38, 8048 Zürich"
715,2590,2.0,50,"Köchlistrasse 10, 8004 Zürich"
716,5500,4.5,124,"Narzissenstrasse 7, 8006 Zürich"
717,4250,4.0,90,"Nordstrasse 198, 8037 Zürich"
718,4450,4.5,135,8048 Zürich
719,3950,3.5,97,8037 Zürich
720,3900,3.0,72,8002 Zürich
721,4050,2.0,166,8047 Zürich
722,3750,2.5,72,8008 Zürich
723,5440,4.5,106,"Zurlindenstrasse 134, 8003 Zürich"
724,8925,8.5,250,8006 Zürich
725,2450,3.5,66,"Salerstrasse 21, 8050 Zürich"
726,2701,2.5,58,"Schaffhauserstrasse 453, 8052 Zürich"
727,4764,3.0,87,8001 Zürich
728,5300,3.5,138,"Bederstrasse 109, 8002 Zürich"
729,1980,3.0,65,"Dubsstrasse 42, 8003 Zürich"
730,8925,8.5,250,"Germaniastrasse 15, 8006 Zürich"
731,3050,1.0,65,"Weinbergstrasse 44, 8006 Zürich"
732,3990,4.0,127,"Letzistrasse 15, 8006 Zürich"
733,2490,1.0,72,"Sihlhallenstrasse 30, 8004 Zürich"
734,4800,5.0,140,8032 Zürich
735,7522,4.5,149,"Carmenstrasse 24, 8032 Zürich"
736,5939,3.5,121,"Othmarstrasse 8, 8008 Zürich"
737,5200,3.5,97,"Pestalozzistrasse 34, 8032 Zürich"
738,3020,2.5,74,"Zollikerstrasse 275, 8008 Zürich"
739,3534,3.5,86,"Leutschenbachstrasse 30, 8050 Zürich"
740,3490,3.5,0,"Talchernsteig 1, 8049 Zürich"
741,2090,1.5,36,"Hottingerstrasse 27, 8032 Zürich"
742,3039,3.0,80,"Schaffhauserstrasse 5, 8006 Zürich"
743,4980,4.5,107,"Germaniastrasse 40, 8006 Zürich"
744,3655,3.5,101,"Leutschenbachstrasse 42, 8050 Zürich"
745,3700,3.5,80,"Forchstrasse 271, 8008 Zürich"
746,2800,5.5,0,"Wehntalerstrasse 253, 8046 Zürich"
747,1060,1.0,11,"Badenerstrasse, 8003 Zürich"
748,1360,1.0,29,"Mattackerstrasse 11, 8052 Zürich"
749,6290,3.5,90,"Lavaterstrasse 61, 8002 Zürich"
750,4600,5.0,121,"Winterthurerstrasse 40, 8006 Zürich"
751,2888,2.5,50,"Dufourstrasse 153, 8008 Zürich"
752,2665,3.5,80,"Asylstrasse 106, 8032 Zürich"
753,3740,3.5,101,"Schaffhauserstrasse 486, 8052 Zürich"
754,3490,3.5,78,"Dennlerstrasse 9, 8048 Zürich"
755,1732,3.0,0,"Herbstweg 71, 8050 Zürich"
756,5273,0.0,66,"Bellariastrasse 36, 8002 Zurich"
757,3519,0.0,50,"Waffenplatzstrasse 72, 8002 Zurich"
758,4754,2.0,54,"Cramerstrasse 8-12, 8004 Zurich"
759,3208,0.0,80,"Hardstrasse 236/238, 8005 Zurich"
760,4235,3.0,80,"Hardstrasse 236/238, 8005 Zurich"
761,2481,0.0,22,"Albertstrasse 7, 8005 Zürich"
762,1370,1.0,26,"Hegibachstrasse, 8032 Zurich"
763,3890,3.5,66,"Nordstrasse 198, 8037 Zürich"
764,2640,3.0,84,"Ohmstrasse 6, 8050 Zürich"
765,1050,1.0,14,"Auhofstrasse, 8051 Zürich"
766,2490,3.0,77,"Dörflistrasse 31, 8057 Zürich"
767,3840,3.0,72,"Freiestrasse 44, 8032 Zürich"
768,2300,2.5,57,"Stampfenbrunnenstrasse 28, 8048 Zürich"
769,2050,2.0,34,"Friedackerstrasse 7, 8050 Zürich"
770,3300,1.0,107,"Lessingstr. 7, 8002 Zürich"
771,3090,3.0,68,"Nordstrasse 88, 8037 Zürich"
772,1990,2.5,63,"Neunbrunnenstrasse 194, 8046 Zürich"
773,3550,3.0,85,"Nordstrasse 98, 8037 Zürich"
774,3090,3.0,68,"Weizenstrasse 6, 8037 Zürich"
775,4679,3.5,98,"Alfred-Escher-Strasse 70, 8002 Zürich"
776,1568,1.0,31,"Dienerstrasse 20, 8004 Zürich"
777,2300,2.5,0,"Hungerbergstrasse 9, 8046 Zürich"
778,3195,2.5,62,"Rosengartenstrasse 55, 8037 Zürich"
779,1790,2.5,59,"Neunbrunnenstrasse 180, 8046 Zürich"
780,2870,2.5,63,"Mutschellenstrasse 65, 8038 Zürich"
781,3150,3.0,96,"Stampfenbrunnenstrasse 38, 8048 Zürich"
782,2700,2.0,82,"Stampfenbrunnenstrasse 38, 8048 Zürich"
783,2840,4.0,107,"Im Tiergarten 53, 8055 Zürich"
784,2740,2.5,49,"Seestrasse 293, 8038 Zürich"
785,3300,3.0,0,"Langackerstrasse 18, 8057 Zürich"
786,2707,2.5,0,"Heinrich-Federer-Strasse 4, 8038 Zürich"
787,2245,3.5,68,"Bristenstr. 27, 8048 Zürich"
788,2340,2.5,76,"Eulenweg 23, 8048 Zürich"
789,2570,2.5,88,"Eulenweg 27, 8048 Zürich"
790,2990,3.0,64,"Kornhausstrasse 29, 8037 Zürich"
791,4410,4.5,91,"Eibenstrasse 18, 8045 Zürich"
792,2720,2.5,54,"Eibenstrasse 20, 8045 Zürich"
793,3270,3.5,70,"Eibenstrasse 18, 8045 Zürich"
794,2157,2.5,52,"Sihlhallenstrasse 11, 8004 Zürich"
795,2021,3.5,82,"Auwiesenstrasse 39, 8050 Zürich"
796,2460,3.5,86,"Luegislandstrasse 84, 8051 Zürich"
797,1550,1.0,34,"Hugostrasse 9, 8050 Zürich"
798,2990,2.5,0,"Haldenstrasse 167, 8055 Zürich"
799,3690,3.5,0,"Haldenstrasse 167, 8055 Zürich"
800,3380,2.5,91,"Bächtoldstrasse 2, 8044 Zürich"
801,2700,3.0,0,"Weststrasse 148, 8003 Zürich"
802,3900,4.0,127,"Witikonerstrasse 311b, 8053 Zürich"
